ID;Aluminum;Aluminum with Thermal Break;Reinforced Aluminum Clad Wood;Wood;Vinyl;Insulated Fiberglass/Vinyl
1a;0.75;0.75;0.64;0.64;0.64;0.64
5a;0.67;0.67;0.57;0.57;0.57;0.57
29a;0.6;0.6;0.51;0.51;0.51;0.51
25a;0.37;0.37;0.31;0.31;0.31;0.31
40c;0.25;0.25;0.21;0.21;0.21;0.21
17c;0.62;0.62;0.52;0.52;0.52;0.52
32c;0.55;0.55;0.46;0.46;0.46;0.46
1c;0.64;0.64;0.54;0.54;0.54;0.54
5c;0.55;0.55;0.46;0.46;0.46;0.46
29c;0.31;0.31;0.26;0.26;0.26;0.26
1l;0.28;0.28;0.24;0.24;0.24;0.24
5p;0.27;0.27;0.22;0.22;0.22;0.22
29c;0.31;0.31;0.26;0.26;0.26;0.26
