ID;Aluminum;Aluminum with Thermal Break;Reinforced Aluminum Clad Wood;Wood;Vinyl;Insulated Fiberglass/Vinyl
1a;6.42;6.07;5.55;5.55;5.55;5.35
5a;3.61;3.22;2.86;2.84;2.84;2.72
29a;2.76;2.39;2.05;2.01;2.01;1.93
25a;2.75;2.36;2.03;2.01;2.01;1.9
40c;2.13;1.76;1.44;1.4;1.4;1.33
17c;2.99;2.6;2.26;2.24;2.24;2.13
32c;2.47;2.1;1.77;1.73;1.73;1.66
1c;6.42;6.07;5.55;5.55;5.55;5.35
5c;3.61;3.22;2.86;2.84;2.84;2.72
29c;2.76;2.39;2.05;2.01;2.01;1.93
1l;6.42;6.07;5.55;5.55;5.55;5.35
5p;3.61;3.22;2.86;2.84;2.84;2.72
29c;2.76;2.39;2.05;2.01;2.01;1.93
