ID;Aluminum;Aluminum with Thermal Break;Reinforced Aluminum Clad Wood;Wood;Vinyl;Insulated Fiberglass/Vinyl
1a;7.24;6.12;5.14;5.05;5.05;4.61
5a;4.62;3.42;3;2.87;2.87;5.83
29a;3.8;2.6;2.25;2.19;2.19;1.91
25a;3.83;2.68;2.33;2.21;2.21;1.89
40c;3.22;2.07;1.76;1.71;1.71;1.45
17c;4.05;2.89;2.52;2.39;2.39;2.07
32c;3.54;2.36;2.02;1.97;1.97;1.7
1c;7.24;6.12;5.14;5.05;5.05;4.61
5c;4.62;3.42;3;2.87;2.87;2.53
29c;3.8;2.6;2.25;2.19;2.19;1.91
1l;7.24;6.12;5.14;5.05;5.05;4.61
5p;4.62;3.42;3;2.87;2.87;2.53
29c;3.8;2.6;2.25;2.19;2.19;1.91
